时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘,总得分,是否大分
2018/1/7 19:35,辽宁本钢,南京同曦,117,114,58,60,15.5,213.5,231,YES
2018/1/9 19:35,南京同曦,深圳马可波罗,109,94,45,53,-4.5,215.5,203,NO
2018/1/9 20:00,新疆喀什古城,上海哔哩哔哩,123,116,57,56,10.5,216.5,239,YES
2018/1/10 19:35,江苏肯帝亚,广州证券,114,102,54,47,7.5,218.5,216,NO
2018/1/10 19:35,八一双鹿电池,四川品胜,110,114,47,53,-8.5,197,224,YES
2018/1/10 19:35,广东东莞银行,浙江广厦控股,114,107,68,53,1.5,208.5,221,YES
2018/1/10 19:35,青岛国信双星,九台农商银行,120,104,74,54,6.5,221.5,224,YES
2018/1/10 19:35,山西汾酒股份,福建SBS,113,112,57,45,1.5,234.5,225,NO
2018/1/11 19:35,天津滨海云商,浙江稠州银行,88,94,47,45,-10.5,215.5,182,NO
2018/1/11 19:35,山东高速,辽宁本钢,103,98,51,46,2.5,212.5,201,NO
2018/1/11 19:35,北京首钢,北京农商银行,108,105,58,54,8.5,212,213,YES
2018/1/16 19:35,深圳马可波罗,山东高速,129,103,70,51,-1.5,212.5,232,YES
2018/1/16 19:35,上海哔哩哔哩,北京首钢,88,79,40,43,-1.5,207.5,167,NO
2018/1/16 19:35,九台农商银行,天津滨海云商,114,94,52,47,6.5,223.5,208,NO
2018/1/16 19:35,福建SBS,北京农商银行,135,121,61,48,3.5,225.5,256,YES
2018/1/16 19:35,青岛国信双星,辽宁本钢,105,115,43,62,-8.5,214.5,220,YES
2018/1/16 19:35,山西汾酒股份,浙江稠州银行,106,102,55,53,-1.5,220.5,208,NO
2018/1/16 19:35,浙江广厦控股,四川品胜,124,100,72,42,18.5,222.5,224,YES
2018/1/16 19:35,南京同曦,广州证券,120,123,59,71,1.5,222.5,243,YES
2018/1/17 19:35,江苏肯帝亚,广东东莞银行,89,86,44,47,-7,204.5,175,NO
2018/1/17 19:35,八一双鹿电池,新疆喀什古城,92,104,48,50,-11,192.5,196,YES
2018/1/18 19:35,广州证券,山东高速,126,123,66,57,-3.5,227.5,249,YES
2018/1/18 19:35,浙江稠州银行,北京农商银行,107,90,48,54,9.5,208.5,197,NO
2018/1/18 19:35,福建SBS,北京首钢,98,103,51,51,1,217,201,NO
2018/1/18 19:35,九台农商银行,山西汾酒股份,129,130,70,75,-4.5,230.5,259,YES
2018/1/18 19:35,辽宁本钢,天津滨海云商,134,98,62,39,19,213.5,232,YES
2018/1/19 19:35,深圳马可波罗,青岛国信双星,121,103,67,49,13.5,220.5,224,YES
2018/1/19 19:35,浙江广厦控股,新疆喀什古城,118,94,56,44,8.5,223.5,212,NO
2018/1/19 19:35,南京同曦,广东东莞银行,89,113,43,44,-11.5,209.5,202,NO
2018/1/19 19:35,四川品胜,江苏肯帝亚,107,104,59,52,-5.5,215.5,211,NO
2018/1/19 19:35,上海哔哩哔哩,八一双鹿电池,117,93,51,45,14.5,191.5,210,YES
2018/1/20 19:35,浙江稠州银行,北京首钢,106,116,48,53,4.5,202.5,222,YES
2018/1/20 19:35,九台农商银行,北京农商银行,104,117,52,67,-5.5,219.5,221,YES
2018/1/21 19:35,广东东莞银行,山东高速,110,113,46,57,6.5,211.5,223,YES
2018/1/21 19:35,上海哔哩哔哩,福建SBS,112,105,56,52,7.5,224.5,217,NO
2018/1/21 19:35,辽宁本钢,山西汾酒股份,106,105,41,43,14.5,223.5,211,NO
2018/1/21 19:35,八一双鹿电池,浙江广厦控股,91,125,39,63,-17.5,201.5,216,YES
2018/1/21 19:35,广州证券,青岛国信双星,121,113,60,61,17.5,229.5,234,YES
2018/1/21 19:35,四川品胜,南京同曦,111,120,59,42,2.5,219.5,231,YES
